,Magnitude,Repute,Summary
Rs17822931(T;T),2.5,Good,Dry earwax. No body odour. Likely Asian ancestry. Reduced colostrum.
Rs16891982(C;C),1.1,Good,"generally non-European, but if European, 7x more likely to have black hair"
Rs351855(T;T),2.9,Bad,"2x increased prostate cancer risk; among breast cancer patients, herceptin is less effective"
Rs713598(G;G),1.1,Bad,Possibly unable to taste bitter in some foods.
Rs713598(C;C),1.1,Good,Can taste bitter.
Rs1726866(C;C),0.1,Good,can taste bitter
Rs4680(G;G),2.5,Good,"(warrior) multiple associations, see details"
Rs4680(A;A),2.5,Good,(worrier) advantage in memory and attention tasks
Rs2476601(A;A),3.2,Bad,2x risk of rheumatoid arthritis and other autoimmune diseases
Rs2476601(G;G),0,Good,Normal risk for autoimmune disorders
Rs6265(A;A),2.6,Bad,introversion; depression resistant; impaired motor skills learning; somewhat quicker mental decline in Alzheimer patients
Rs4420638(G;G),3,Bad,"2x+ increased Alzheimer's risk, further genotyping suggested ; increased LDL cholesterol"
Rs7903146(T;T),3.5,Bad,2x increased risk for Type-2 diabetes
Rs429358(C;C),1.2,Bad,one of 2 snps relevant to classifying APOE genotype
Rs3816873(C;C),2.2,Good,reduced risk of type-2 diabetes
Rs5370(T;T),1.2,Bad,possibly lower HDL cholesterol in women
Rs800292(C;C),2,Bad,5% higher risk of Age related macular degeneration
Rs800292(T;T),2,Good,5% decreased risk of macular degeneration
Rs1041981(A;A),2,Bad,Higher myocardial infarction risk
Rs11556045(G;G),0,Good,benign polymorphism
Rs1800450(A;A),1.6,Bad,mannose binding deficiency but of low clinical importance
Rs1045485(C;C),2,Good,Reduced Risk of Breast Cancer
Rs1065852(T;T),3.2,Bad,"Homozygous for CYP2D6 decreased or non-functioning variants; possibly less response to some drugs, including tamoxifen"
Rs2987983(C;C),2,Bad,1.2x increased risk of prostate cancer
Rs2987983(C;T),2,Bad,1.2x increased risk of prostate cancer
Rs662(A;A),2,Bad,"~2x higher risk of of coronary heart disease reported in some studies, but lower risk seen in other studies"
Rs854560(A;A),2,Bad,"higher risk for heart disease, diabetic retinopathy"
Rs6025(A;A),7,Bad,11.4x higher risk of thrombosis
Rs6025(G;G),0,Good,normal/common risk of thrombosis
Rs2476601(A;G),2,Bad,Increased Risk of Multiple Autoimmune Disorders
Rs1061147(A;C),1,Good,Normal 0.97x risk for Age Related Macular Degeneration.
Rs1061170(C;T),2.5,Bad,2.5x risk for AMD; higher mortality among nonagenarians
Rs4950928(G;C),2,Good,Half the risk (maybe) of Asthma.
Rs7903146(C;T),2.1,Bad,1.4x increased risk for diabetes (and perhaps colon cancer).
Rs12255372(G;T),2,Bad,1.3x increased type-2 diabetes risk
Rs1219648(A;G),2,Bad,1.20x risk for breast cancer
Rs4633(C;T),2,Bad,higher risk for endometrial cancer
Rs4444903(A;G),2,Bad,3.5x risk of hep-cancer in cirrhosis patients; higher glioma risk
Rs11556045(A;G),0,Good,benign polymorphism
Rs1799971(A;G),2.5,Bad,"stronger cravings for alcohol. if alcoholic, naltrexone treatment 2x more successful"
Rs713598(C;G),1.1,Good,Can taste bitter.
Rs6983267(G;T),2.7,Bad,1.3x risk of prostate cancer; aspirin reduces risk of colorectal cancer
Rs1333040(C;T),0,Bad,"1.24x increased myocardial infarction risk, ~1.24x increased intracranial aneurysm risk"
Rs2383206(A;G),2,Bad,1.4x increased risk for heart disease
Rs4950928(C;C),1.9,Bad,Normal (higher) risk of Asthma.
Rs806380(G;G),2.1,Good,uncommon. lowest odds of cannabis dependence
Rs669(G;G),2,Bad,3.8x or higher increased risk for Alzheimers
Rs661(A;A),9,Bad,early onset Alzheimer's disease
Rs6647(T;T),0,Good,Normal; two copies of Pi-M1V allele
Rs6647(C;C),0,Good,Normal; two copies of Pi-M1A allele
Rs28929474(A;A),5.5,Bad,Alpha-1 Antitrypsin Deficiency
Rs17580(T;T),2.5,Bad,a slightly reduced functionality form of Alpha-1 Antitrypsin Deficiency
Rs28931568(A;A),4,Bad,high risk of emphysema due to Alpha 1-Antitrypsin Deficiency
Rs1800888(T;T),2.5,Bad,increased risk of coronary artery disease
Rs4994(C;C),2,Bad,2x higher risk in certain women for cardiac events; associated with elite endurance performance in men
Rs28931590(T;T),2.5,Bad,ACUTE MYELOID LEUKEMIA
Rs5882(G;G),2.1,Good,"Longer lifespan, 0.28x lower risk of dementia, 0.31x lower risk of Alzheimer's."
Rs5882(A;A),2,Bad,Faster aging. Increased risk for Dementia. Less good cholesterol.
Rs2230199(G;G),2,Bad,2.5x+ risk of ARMD
Rs1047286(T;T),1.7,Bad,1.7x increased risk for age-related macular degeneration
Rs28929485(T;T),6,Bad,Deafness and keratitis; possible dominant or recessive
Rs231775(A;A),1,Good,no increased risk of autoimmune thyroid disease
Rs28399504(G;G),2.5,Bad,poor metabolizer
Rs28931610(T;T),6,Bad,carrier of a skin fragility/woolly hair syndrome allele
Rs5352(A;A),3.5,Bad,Hirschsprung disease?
Rs6166(G;G),1,Bad,Females slightly more likely to be sterile
Rs1494558(G;G),0,Good,benign polymorphism
Rs1494555(T;T),0,Good,benign polymorphism
Rs3218713(A;A),6,Bad,Familial Hypertrophic Cardiomyopathy
Rs3218714(T;T),6,Bad,Familial Hypertrophic Cardiomyopathy
Rs28933375(G;G),5,Bad,Familial Hemophagocytic Lymphohistiocytosis and Lymphoma
Rs2236225(T;T),1.5,Bad,Slightly (~1.5x) higher risk for Caucasian mothers to give birth to NTD children
Rs5918(C;C),2.5,Bad,"MI risk, aspirin resistance"
Rs1799990(A;A),2.3,Bad,Increased chance of Prion Disease (PrP 129 Met homozygote)
Rs1799990(G;G),2,Good,"Resistance to vCJD (PrP 129 Val homozygous), 1.7x reduced risk of sporadic CJD and 0.87x reduced risk for late-onset Alzheimer in a Caucasian population"
Rs28933385(G;G),0,Good,Prion protein Codon 200 (E) - Non pathogenic variant
Rs16990018(A;A),0,Good,PrP Codon 171 Asn - Non-pathogenic variant
Rs486907(G;G),1,Good,Normal prostate cancer risk
Rs486907(A;A),2,Bad,2x increased prostate cancer risk
Rs1042522(C;C),3,Good,Live 3 years longer. Chemotherapy is more effective.
Rs1042522(G;G),2,Bad,Common variant. Slightly shorter lifespan.
Rs28934576(A;A),5,Bad,Li-Fraumeni Syndrome
Rs28934578(A;A),8,Bad,info@snpedia.com would like to hear from you
Rs1800562(G;G),0,Good,Not a C282Y hemochromatosis carrier.
Rs1800562(A;A),5.1,Bad,"Two copies of C282Y, likely affected by hemochromatosis which may be serious if male or post-menopausal."
Rs28935499(A;A),5.5,Bad,Hemophilia A (severity varies)
Rs28935203(T;T),5.5,Bad,Hemophilia A (severity varies)
Rs28933669(C;C),5.5,Bad,Hemophilia A (severity varies)
Rs28933670(G;G),5.5,Bad,Hemophilia A (severity varies)
Rs28933671(G;G),5.5,Bad,Hemophilia A (severity varies)
Rs28933672(T;T),5.5,Bad,Hemophilia A (severity varies)
Rs28937272(G;G),5.5,Bad,Hemophilia A (severity varies)
Rs28937282(T;T),5.5,Bad,Hemophilia A (severity varies)
Rs28937285(A;A),5.5,Bad,Hemophilia A (severity varies)
Rs28937287(G;G),5.5,Bad,Hemophilia A (severity varies)
Rs28937289(A;A),5.5,Bad,Hemophilia A (severity varies)
Rs28933674(A;A),5.5,Bad,Hemophilia A (severity varies)
Rs28933675(T;T),5.5,Bad,Hemophilia A (severity varies)
Rs28933676(C;C),5.5,Bad,Hemophilia A (severity varies)
Rs28933677(T;T),5.5,Bad,Hemophilia A (severity varies)
Rs28933680(G;G),5.5,Bad,Hemophilia A (severity varies)
Rs28933681(A;A),5.5,Bad,Hemophilia A (severity varies)
Rs28933682(G;G),5.5,Bad,Hemophilia A (severity varies)
Rs6318(C;C),2.5,Bad,1.4x increased risk for cardiac events in patients; apparently stress (cortisol) related
Rs28933693(T;T),5,Bad,Limb-girdle muscular dystrophy-dystroglycanopathy
Rs28937316(A;A),5,Bad,long QT syndrome
Rs7626962(T;T),2,Bad,Now: Benign? Formerly: increased susceptibility to long QT syndrome
Rs144848(G;G),2,Bad,very slightly increased breast cancer risk
Rs28936383(G;G),5,Bad,Limb-girdle muscular dystrophy-dystroglycanopathy
Rs1799999(T;T),3,Bad,insulin resistance
Rs28936677(C;C),3.5,Bad,Variegate porphyria
Rs12735723(G;G),3.5,Bad,Variegate porphyria
Rs1137101(G;G),1.5,Bad,Slight increase in obesity and T2DM risk
Rs28936415(A;A),5,Bad,Congenital Disorder of Glycosylation Type 1a
Rs28938172(C;C),8.7,Bad,"Parkinson's disease, type 7, early-onset"
Rs28938173(A;A),3,Bad,Familial Hypertrophic Cardiomyopathy
Rs324420(A;A),2.5,Bad,significantly increased risk for substance use disorders; possibly higher pain tolerance
Rs4986790(G;G),2.5,Bad,complex; numerous associations reported
Rs2238472(A;A),1,Good,most likely a benign polymorphism
Rs2073711(T;T),2,Good,Back Pain: lower risk of Lumbar Disc Disease.
Rs2073711(C;C),2,Bad,Back Pain: normal (higher) risk of Lumbar Disc Disease.
Rs28937590(G;G),8,Bad,GRACILE syndrome
Rs28939712(T;T),7.7,Bad,Familial dysautonomia
Rs28937594(C;C),6,Bad,"Inclusion Body Myopathy, type 2"
Rs2301612(G;G),0,Good,benign polymorphism
Rs10151259(T;T),2,Bad,Recessive genotype uncertain pathogenicity
Rs28939086(C;C),5,Bad,Pendred Syndrome
Rs2066844(T;T),3.1,Bad,Significance unclear; possibly higher risk for Crohn's disease
Rs381737(A;A),6,Bad,Gaucher disease (predicted if orientation is correct)
Rs28937900(A;A),5,Bad,Limb-girdle muscular dystrophy-dystroglycanopathy
Rs28937907(T;T),6,Bad,possible polycystic kidney disease
Rs28940868(A;A),5,Bad,likely to have Pompe disease
Rs28942071(T;T),8.8,Bad,Tay-Sachs disease (predicted)
Rs28941771(C;C),8.8,Bad,Tay-Sachs disease (predicted)
Rs28942074(T;T),5.7,Bad,Wilson's disease; variable age of onset
Rs28941774(T;T),3.5,Bad,Porphyria
Rs28941775(G;G),3.5,Bad,Porphyria
Rs9332964(G;G),0,Good,not linked to micropenis
Rs9332964(A;A),4,Bad,micropenis
Rs17221854(T;T),4,Bad,increased susceptibility to long QT syndrome
Rs2071421(G;G),0,Good,Benign variant (on its own)
Rs28362286(A;A),3,Good,Lowered LDL-C and lower risk for coronary events
Rs28940268(A;A),4,Bad,"Lamellar ichthyosis, type 2"
Rs28940568(A;A),4,Bad,"Lamellar ichthyosis, type 2"
Rs28940270(A;A),4,Bad,"Lamellar ichthyosis, type 2"
Rs28940271(A;A),4,Bad,"Lamellar ichthyosis, type 2"
Rs28940279(C;C),8,Bad,Canavan disease (predicted)
Rs28940574(A;A),8,Bad,Canavan disease (predicted)
Rs28940578(A;A),3.5,Bad,familial Mediterranean fever
Rs28940579(C;C),3.5,Bad,familial Mediterranean fever
Rs3743930(C;C),2.1,Bad,some reports of familial Mediterranean fever
Rs11466023(T;T),2,Bad,mild familial Mediterranean fever
Rs28940284(A;A),8.9,Bad,"Parkinson's disease, type 6, early-onset"
Rs28940285(C;C),8.9,Bad,"Parkinson's disease, type 6, early-onset"
Rs28940585(T;T),8,Bad,Argininosuccinate lyase deficiency
Rs28941472(G;G),8,Bad,Argininosuccinate lyase deficiency
Rs28940286(T;T),8,Bad,Argininosuccinate lyase deficiency
Rs28941473(A;A),8,Bad,Argininosuccinate lyase deficiency
Rs28940287(T;T),8,Bad,Argininosuccinate lyase deficiency
Rs5361(C;C),2.5,Bad,4x increased risk for recurrent venous thromboembolism.
Rs671(G;G),2,Good,"Alcohol Flush: Normal, doesn't flush. Normal hangovers. Normal risk of Alcoholism. Normal risk of Esophageal Cancer. Disulfiram is effective for alcoholism."
Rs671(A;A),4,Bad,Asian Flusher; increased risk of esophageal cancer; East Asian ancestry; Disulfiram not effective for alcoholism.
Rs4961(T;T),2.1,Bad,1.8x increased risk for high blood pressure
Rs5742904(A;A),4,Bad,"Hypercholesterolemia, Type B; homozygote"
Rs2285644(C;C),1,Good,Diego blood group Di(a-b+); found in > 99% of Caucasians and Blacks
Rs2285644(T;T),1,Good,Diego blood group Di(a+b-); ancestors very likely to include some East Asians/Mongolians and/or indigenous North/South Americans
Rs8176058(C;C),0,Good,"common; Kell group, k antigen (k/k)"
Rs28399653(G;G),0,Good,Lu(b)/Lu(b) genotype; i.e. Lu(b) homozygote
Rs1135062(A;A),0,Good,"Au(a)/Au(a) genotype; basically, Au(a) homozygote"
Rs1135062(G;G),0,Good,Au(b)/Au(b) genotype; Au(b) homozygote
Rs28930068(A;A),5,Bad,Hypokalemic periodic paralysis risk
Rs28930069(G;G),5,Bad,Hypokalemic periodic paralysis risk
Rs1805008(T;T),3,Bad,~7-10x higher likelihood of red hair; higher risk of melanoma
Rs241448(C;C),2.1,Bad,2.14x increased risk for Alzheimer's
Rs1799807(A;A),0,Good,Typical BuChE
Rs1799807(G;G),4,Bad,"Homozygous for ""atypical"" BuChE; see warning re drug (incl. anesthetic) use"
Rs28933389(T;T),3.5,Bad,Pseudocholinesterase Deficiency
Rs28933390(T;T),4,Bad,Pseudocholinesterase Deficiency
Rs28934872(A;A),4,Bad,Tuberous sclerosis
Rs28934880(A;A),7,Bad,3HSDB2 deficiency; congenital adrenal hyperplasia
Rs1801198(G;G),2,Bad,Some increase in peripheral neuropathy risk in older adults taking folate
Rs1050829(A;A),0,Good,G6PD Type B
Rs1050829(G;G),2.1,Bad,G6PD Type A; possibly benign though
Rs1050828(A;A),4,Bad,G6PD deficiency; Hb1Ac value may need adjusting for diabetes diagnosis
Rs28938473(T;T),5,Bad,"Fundus flavimaculatus, a type of Stargardt disease, likely"
Rs9282671(A;A),1.5,Bad,small chance of slightly increasing risk for a form of glaucoma
Rs28937869(T;T),4,Bad,Ehlers-Danlos syndrome
Rs4792311(G;G),1,Good,Normal risk of prostate cancer
